h1,h2,h3,color,value,year
East,Beijing 4.23,Beijing-in,1,3.827759959,2005-2010
East,Tianjin 1.71,Tianjin-in,1,1.49712,2005-2010
East,Hebei 2.94,Hebei-in,1,0.924089997,2005-2010
East,Shandong 3.35,Shandong-in,1,1.335580002,2005-2010
East,Jiangsu 6.78,Jiangsu-in,1,4.887289935,2005-2010
East,Shanghai 5.3,Shanghai-in,1,4.900489955,2005-2010
East,Zhejiang 9.71,Zhejiang-in,1,8.372910008,2005-2010
East,Fujian 3.56,Fujian-in,1,2.449910035,2005-2010
East,Guangdong 15.49,Guangdong-in,1,13.87439986,2005-2010
East,Hainan 0.57,Hainan-in,1,0.33771,2005-2010
East,Beijing 4.73,Beijing-in,1,3.990451989,2010-2015
East,Tianjin 3.06,Tianjin-in,1,2.728258984,2010-2015
East,Hebei 3.67,Hebei-in,1,1.159224988,2010-2015
East,Shandong 3.53,Shandong-in,1,1.305548999,2010-2015
East,Jiangsu 7.23,Jiangsu-in,1,5.099999,2010-2015
East,Shanghai 4.35,Shanghai-in,1,3.530323008,2010-2015
East,Zhejiang 7.43,Zhejiang-in,1,5.65426104,2010-2015
East,Fujian 3.42,Fujian-in,1,2.263288995,2010-2015
East,Guangdong 13.28,Guangdong-in,1,10.69161596,2010-2015
East,Hainan 0.63,Hainan-in,1,0.338066001,2010-2015
East,Beijing 4.23,Beijing-out,2,0.405949995,2005-2010
East,Tianjin 1.71,Tianjin-out,2,0.213359999,2005-2010
East,Hebei 2.94,Hebei-out,2,2.017390001,2005-2010
East,Shandong 3.35,Shandong-out,2,2.014989985,2005-2010
East,Jiangsu 6.78,Jiangsu-out,2,1.893540001,2005-2010
East,Shanghai 5.3,Shanghai-out,2,0.401010003,2005-2010
East,Zhejiang 9.71,Zhejiang-out,2,1.339400002,2005-2010
East,Fujian 3.56,Fujian-out,2,1.113660004,2005-2010
East,Guangdong 15.49,Guangdong-out,2,1.61290001,2005-2010
East,Hainan 0.57,Hainan-out,2,0.235900003,2005-2010
East,Beijing 4.73,Beijing-out,2,0.743675996,2010-2015
East,Tianjin 3.06,Tianjin-out,2,0.332194997,2010-2015
East,Hebei 3.67,Hebei-out,2,2.513226961,2010-2015
East,Shandong 3.53,Shandong-out,2,2.219871023,2010-2015
East,Jiangsu 7.23,Jiangsu-out,2,2.129226021,2010-2015
East,Shanghai 4.35,Shanghai-out,2,0.823097999,2010-2015
East,Zhejiang 7.43,Zhejiang-out,2,1.775094986,2010-2015
East,Fujian 3.42,Fujian-out,2,1.158642011,2010-2015
