h1,h2,h3,color,value,year,
America,ARG 195,ARG-in,1,111.7487684,2018,
America,BRA 628,BRA-in,1,339.5677294,2018,
America,CAN 1365,CAN-in,1,701.7998774,2018,
America,CHL 202,CHL-in,1,107.9165772,2018,
America,COL 142,COL-in,1,81.89959506,2018,
America,MEX 1045,MEX-in,1,551.6464159,2018,
America,USA 7612,USA-in,1,3966.873,2018,
America,ARG 177,ARG-in,1,90.77789605,2019,
America,BRA 637,BRA-in,1,351.4177866,2019,
America,CAN 1380,CAN-in,1,706.8531949,2019,
America,CHL 190,CHL-in,1,101.2698667,2019,
America,COL 140,COL-in,1,82.16319616,2019,
America,MEX 1054,MEX-in,1,547.2578763,2019,
America,USA 7651,USA-in,1,3997.717,2019,
America,ARG 135,ARG-in,1,66.19096326,2020,
America,BRA 546,BRA-in,1,286.2163709,2020,
America,CAN 1191,CAN-in,1,608.5053339,2020,
America,CHL 175,CHL-in,1,86.53163413,2020,
America,COL 103,COL-in,1,60.54582847,2020,
America,MEX 901,MEX-in,1,457.3544998,2020,
America,USA 6673,USA-in,1,3580.52,2020,
America,ARG 195,ARG-out,2,83.42004259,2018,
America,BRA 628,BRA-out,2,288.1259777,2018,
America,CAN 1365,CAN-out,2,663.2131337,2018,
America,CHL 202,CHL-out,2,93.92674662,2018,
America,COL 142,COL-out,2,59.90123565,2018,
America,MEX 1045,MEX-out,2,493.1045686,2018,
America,USA 7612,USA-out,2,3645.05,2018,
America,ARG 177,ARG-out,2,86.24888975,2019,
America,BRA 637,BRA-out,2,285.2037366,2019,
America,CAN 1380,CAN-out,2,673.4977025,2019,
America,CHL 190,CHL-out,2,88.97586157,2019,
America,COL 140,COL-out,2,58.30016746,2019,
America,MEX 1054,MEX-out,2,507.0799429,2019,
America,USA 7651,USA-out,2,3653.298,2019,
America,ARG 135,ARG-out,2,68.38436511,2020,
America,BRA 546,BRA-out,2,259.3807259,2020,
America,CAN 1191,CAN-out,2,582.4642603,2020,
